Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
Nevada extrema deja múltiples daños en Gualeguaychú,"Una nevada extrema de gran magnitud afectó a Gualeguaychú, Entre Ríos. El incidente dejando un rastro de destrucción importante. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Nevada extrema,-32.962217,-58.548531,22/02/2003
"Necochea sufre las consecuencias de Temporal, Buenos Aires","Una temporal de gran magnitud afectó a Necochea, Buenos Aires. El incidente generando serios daños ambientales en la región. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Temporal,-38.588946,-58.772747,19/02/2024
Evacuaciones por Emergencia por sequía en San Rafael,"Una emergencia por sequía de gran magnitud afectó a San Rafael, Mendoza. El incidente obligando a evacuar a residentes de la zona. Equipos de rescate continúan buscando posibles víctimas.",Emergencia por sequía,-34.626989,-68.294767,19/03/2025
"Declaran emergencia tras Vientos con fuerza ciclónica en Chilecito, La Rioja","Una vientos con fuerza ciclónica de gran magnitud afectó a Chilecito, La Rioja. El incidente destruyendo viviendas y dejando a familias evacuadas. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Vientos con fuerza ciclónica,-29.159407,-67.524526,01/12/2012
Confirman Tormenta de viento de gran magnitud en Cipolletti,La región de Cipolletti en Río Negro sufrió los efectos de una intensa tormenta de viento. El incidente dejando a la población incomunicada por varias horas. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.,Tormenta de viento,-38.962327,-68.002316,11/04/2019
Tormenta con fuertes vientos deja múltiples daños en Quilmes,La región de Quilmes en Buenos Aires sufrió los efectos de una intensa tormenta con fuertes vientos. El incidente causando daños en cultivos y producción agrícola. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.,Tormenta con fuertes vientos,-34.679572,-58.286467,28/10/2002
"Devastador Desborde de río afecta a Caucete, San Juan","Severa desborde de río impactó en la localidad de Caucete, San Juan. El incidente con un saldo inicial de varias personas heridas. La población ha sido alertada para tomar precauciones adicionales.",Desborde de río,-31.673377,-68.236095,11/01/2018
Derrumbe de cerro impacta en Salta,"Severa derrumbe de cerro impactó en la localidad de Salta, Salta. El incidente dejando varios heridos y daños materiales. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Derrumbe de cerro,-24.752754,-65.373295,08/06/2000
"Tormenta con fuertes vientos impacta en Luján de Cuyo, Mendoza","Severa tormenta con fuertes vientos impactó en la localidad de Luján de Cuyo, Mendoza. El incidente generando serios daños ambientales en la región. Se han habilitado refugios temporales para las familias afectadas.",Tormenta con fuertes vientos,-33.062172,-68.84222,04/01/2015
"Devastador Lluvia de hielo afecta a Caleta Olivia, Santa Cruz",La región de Caleta Olivia en Santa Cruz sufrió los efectos de una intensa lluvia de hielo. El incidente dejando a la población incomunicada por varias horas. Se ha establecido un centro de operaciones para coordinar las ayudas.,Lluvia de hielo,-46.428717,-67.544575,12/06/2006
"Las Breñas en alerta por Desprendimiento de ladera, Chaco","Severa desprendimiento de ladera impactó en la localidad de Las Breñas, Chaco. El incidente provocando pánico entre los residentes locales. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Desprendimiento de ladera,-27.063968,-61.096414,25/06/2008
Neuquén afectado por Desborde de río,"Una desborde de río de gran magnitud afectó a Neuquén, Neuquén. El incidente resultando en el cierre temporal de escuelas y comercios. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Desborde de río,-38.988126,-68.027308,19/11/2011
"Equipos de emergencia atienden Tormenta eléctrica en Villa Mercedes, San Luis","Severa tormenta eléctrica impactó en la localidad de Villa Mercedes, San Luis. El incidente afectando gravemente la infraestructura local. Se han habilitado refugios temporales para las familias afectadas.",Tormenta eléctrica,-33.712552,-65.47331,17/03/2015
El Calafate afectado por Vientos con fuerza ciclónica,La región de El Calafate en Santa Cruz sufrió los efectos de una intensa vientos con fuerza ciclónica. El incidente provocando cortes de energía y problemas en el suministro de agua. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.,Vientos con fuerza ciclónica,-50.388028,-72.24641,30/07/2021
Alud provoca emergencia en Morón,"Severa alud impactó en la localidad de Morón, Buenos Aires. El incidente dejando a varios sectores sin comunicación. Bomberos y personal de seguridad trabajan intensamente en la zona.",Alud,-34.693782,-58.61619,01/09/2010
Equipos de emergencia atienden Movimiento telúrico en Pirané,"Una movimiento telúrico de gran magnitud afectó a Pirané, Formosa. El incidente afectando gravemente la infraestructura local. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Movimiento telúrico,-25.750162,-59.129472,03/01/2021
Impacto de Lluvia torrencial en comunidad de Maipú,La región de Maipú en Mendoza sufrió los efectos de una intensa lluvia torrencial. El incidente dejando un rastro de destrucción importante. El intendente local se ha trasladado al lugar para supervisar las operaciones.,Lluvia torrencial,-32.967794,-68.815249,23/01/2023
"Emergencia por Fenómeno de viento rotativo en Chepes, La Rioja",La región de Chepes en La Rioja sufrió los efectos de una intensa fenómeno de viento rotativo. El incidente generando preocupación entre autoridades provinciales. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.,Fenómeno de viento rotativo,-31.368508,-66.550957,04/03/2012
Concepción sufre las consecuencias de Temporal,La región de Concepción en Tucumán sufrió los efectos de una intensa temporal. El incidente generando serios daños ambientales en la región. Defensa Civil coordina las tareas de asistencia y reconstrucción.,Temporal,-27.310493,-65.611433,19/10/2020
Desborde de río genera crisis en Quilmes,"Severa desborde de río impactó en la localidad de Quilmes, Buenos Aires. El incidente destruyendo viviendas y dejando a familias evacuadas. La población ha sido alertada para tomar precauciones adicionales.",Desborde de río,-34.729555,-58.289806,07/08/2008
"Devastador Derrumbe de cerro afecta a Gálvez, Santa Fe",La región de Gálvez en Santa Fe sufrió los efectos de una intensa derrumbe de cerro. El incidente causando pérdidas millonarias y afectando a cientos de personas. Bomberos y personal de seguridad trabajan intensamente en la zona.,Derrumbe de cerro,-32.027251,-61.203712,13/04/2009
Alerta por Emergencia por sequía en Jardín América,"Severa emergencia por sequía impactó en la localidad de Jardín América, Misiones. El incidente provocando la activación de protocolos de emergencia. Se ha establecido un centro de operaciones para coordinar las ayudas.",Emergencia por sequía,-27.082173,-55.182269,20/07/2010
"Puerto Iguazú en alerta por Réplica sísmica, Misiones","Severa réplica sísmica impactó en la localidad de Puerto Iguazú, Misiones. El incidente dejando un rastro de destrucción importante. Se han habilitado refugios temporales para las familias afectadas.",Réplica sísmica,-25.595821,-54.5756,22/06/2001
Autoridades responden a Movimiento telúrico en Santa Fe,"Severa movimiento telúrico impactó en la localidad de Santa Fe, Santa Fe. El incidente obligando a evacuar a residentes de la zona. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Movimiento telúrico,-31.584233,-60.71307,09/04/2015
"Emergencia por Incendio en reserva natural en Eldorado, Misiones",La región de Eldorado en Misiones sufrió los efectos de una intensa incendio en reserva natural. El incidente dejando a la población incomunicada por varias horas. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.,Incendio en reserva natural,-26.41257,-54.62207,01/05/2016
Situación crítica por Ola de calor extremo en Justo Daract,La región de Justo Daract en San Luis sufrió los efectos de una intensa ola de calor extremo. El incidente causando daños en cultivos y producción agrícola. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.,Ola de calor extremo,-33.862779,-65.174034,01/07/2014
"Nevada extrema afecta a Mar del Plata, Buenos Aires",La región de Mar del Plata en Buenos Aires sufrió los efectos de una intensa nevada extrema. El incidente dejando a varios sectores sin comunicación. Se ha declarado estado de emergencia en la región para facilitar la asistencia.,Nevada extrema,-38.005449,-57.500348,13/02/2025
"Derrumbe de cerro causa estragos en San Rafael, Mendoza","Una derrumbe de cerro de gran magnitud afectó a San Rafael, Mendoza. El incidente bloqueando las principales vías de acceso. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Derrumbe de cerro,-34.617887,-68.347553,30/08/2014
"Devastador Déficit hídrico afecta a Lomas de Zamora, Buenos Aires",La región de Lomas de Zamora en Buenos Aires sufrió los efectos de una intensa déficit hídrico. El incidente dejando a la población incomunicada por varias horas. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.,Déficit hídrico,-34.714966,-58.454068,30/07/2002
