Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
"Chajarí sufre las consecuencias de Vuelco de vehículo de pasajeros, Entre Ríos","Autoridades confirmaron un vuelco de vehículo de pasajeros en Chajarí, Entre Ríos. El incidente interrumpiendo servicios básicos en toda la zona. Bomberos y personal de seguridad trabajan intensamente en la zona.",Vuelco de vehículo de pasajeros,-30.717535,-58.039427,06/01/2007
"Emergencia en aeropuerto sorprende a habitantes de Aimogasta, La Rioja","Autoridades confirmaron un emergencia en aeropuerto en Aimogasta, La Rioja. El incidente afectando gravemente la infraestructura local. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Emergencia en aeropuerto,-28.607293,-66.844427,25/12/2004
"Declaran emergencia tras Accidente vehicular en Malargüe, Mendoza","Un grave accidente vehicular se registró en Malargüe, Mendoza. El incidente interrumpiendo servicios básicos en toda la zona. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Accidente vehicular,-35.510359,-69.582077,22/01/2012
"Consecuencias graves tras Apagón general en Puerto Iguazú, Misiones","Autoridades confirmaron un apagón general en Puerto Iguazú, Misiones. El incidente afectando el normal desarrollo de actividades en la zona. El municipio ha activado el protocolo de emergencias para esta situación.",Apagón general,-25.648749,-54.541674,18/02/2001
"Serio incidente: Accidente con transporte público en Pehuajó, Buenos Aires","Autoridades confirmaron un accidente con transporte público en Pehuajó, Buenos Aires. El incidente obligando a evacuar a residentes de la zona. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Accidente con transporte público,-35.847392,-61.852581,30/09/2024
Consecuencias graves tras Pérdida de gas con evacuación en Santa Rosa,"Un grave pérdida de gas con evacuación se registró en Santa Rosa, La Pampa. El incidente provocando pánico entre los residentes locales. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Pérdida de gas con evacuación,-36.624572,-64.318442,08/06/2017
"Impacto de Accidente vehicular en comunidad de San Telmo, CABA","Autoridades confirmaron un accidente vehicular en San Telmo, CABA. El incidente dejando un rastro de destrucción importante. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Accidente vehicular,-34.589924,-58.371937,11/02/2007
"Accidente en refinería afecta a Santiago del Estero, Santiago del Estero","Un grave accidente en refinería se registró en Santiago del Estero, Santiago del Estero. El incidente generando caos en el transporte público y privado. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Accidente en refinería,-27.830999,-64.245055,20/05/2024
"Alerta por Vuelco de vehículo de pasajeros en Formosa, Formosa","Autoridades confirmaron un vuelco de vehículo de pasajeros en Formosa, Formosa. El incidente bloqueando las principales vías de acceso. La población ha sido alertada para tomar precauciones adicionales.",Vuelco de vehículo de pasajeros,-26.161537,-58.20196,05/04/2010
Villa Regina en alerta por Fallo en sistema de seguridad industrial,"Grave fallo en sistema de seguridad industrial ocurrió en las inmediaciones de Villa Regina, Río Negro. El incidente dejando varios heridos y daños materiales. Se ha establecido un centro de operaciones para coordinar las ayudas.",Fallo en sistema de seguridad industrial,-39.058289,-67.023553,04/08/2015
Confirman Fallo en sistema eléctrico de gran magnitud en Las Breñas,"Un grave fallo en sistema eléctrico se registró en Las Breñas, Chaco. El incidente dejando varios heridos y daños materiales. Equipos de rescate continúan buscando posibles víctimas.",Fallo en sistema eléctrico,-27.047222,-61.104507,04/10/2001
Confirman Colisión de tren de carga de gran magnitud en Chepes,"Autoridades confirmaron un colisión de tren de carga en Chepes, La Rioja. El incidente provocando cortes de energía y problemas en el suministro de agua. El municipio ha activado el protocolo de emergencias para esta situación.",Colisión de tren de carga,-31.329046,-66.553192,19/09/2002
"Equipos de emergencia atienden Aterrizaje de emergencia en Gaiman, Chubut","Un grave aterrizaje de emergencia se registró en Gaiman, Chubut. El incidente causando pérdidas millonarias y afectando a cientos de personas. Se han habilitado refugios temporales para las familias afectadas.",Aterrizaje de emergencia,-43.309901,-65.499821,02/01/2013
"Emergencia por Fuga en planta industrial en Pirané, Formosa","Un grave fuga en planta industrial se registró en Pirané, Formosa. El incidente dejando varios heridos y daños materiales. Se ha establecido un centro de operaciones para coordinar las ayudas.",Fuga en planta industrial,-25.692584,-59.145985,08/10/2005
"Concepción del Uruguay sufre las consecuencias de Fallo en planta procesadora, Entre Ríos","Un grave fallo en planta procesadora se registró en Concepción del Uruguay, Entre Ríos. El incidente generando serios daños ambientales en la región. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Fallo en planta procesadora,-32.449218,-58.190357,24/06/2022
"Alerta por Colapso de puente en Comodoro Rivadavia, Chubut","Grave colapso de puente ocurrió en las inmediaciones de Comodoro Rivadavia, Chubut. El incidente afectando el normal desarrollo de actividades en la zona. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Colapso de puente,-45.901738,-67.513528,31/05/2002
Habitantes de Pehuajó afrontan Derrumbe parcial,"Un grave derrumbe parcial se registró en Pehuajó, Buenos Aires. El incidente generando caos en el transporte público y privado. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Derrumbe parcial,-35.84883,-61.908823,15/11/2006
"Metán sufre las consecuencias de Descarrilamiento con derrame, Salta","Grave descarrilamiento con derrame ocurrió en las inmediaciones de Metán, Salta. El incidente destruyendo viviendas y dejando a familias evacuadas. Bomberos y personal de seguridad trabajan intensamente en la zona.",Descarrilamiento con derrame,-25.474449,-65.021415,07/02/2018
Corte prolongado de energía causa estragos en Yerba Buena,"Un grave corte prolongado de energía se registró en Yerba Buena, Tucumán. El incidente causando pérdidas millonarias y afectando a cientos de personas. El municipio ha activado el protocolo de emergencias para esta situación.",Corte prolongado de energía,-26.809017,-65.307199,02/10/2007
Equipos de emergencia atienden Fallo en sistema de seguridad industrial en San Miguel de Tucumán,"Autoridades confirmaron un fallo en sistema de seguridad industrial en San Miguel de Tucumán, Tucumán. El incidente obligando a evacuar a residentes de la zona. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Fallo en sistema de seguridad industrial,-26.765512,-65.191762,30/12/2024
"Alerta por Incendio en viviendas en Sarmiento, Chubut","Un grave incendio en viviendas se registró en Sarmiento, Chubut. El incidente provocando la activación de protocolos de emergencia. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Incendio en viviendas,-45.534183,-69.101155,10/04/2008
"Accidente vehicular deja múltiples daños en Viedma, Río Negro","Un grave accidente vehicular se registró en Viedma, Río Negro. El incidente dejando a la población incomunicada por varias horas. Bomberos y personal de seguridad trabajan intensamente en la zona.",Accidente vehicular,-40.789128,-62.947437,02/11/2012
"Colapso de estructura deja múltiples daños en Santa Fe, Santa Fe","Autoridades confirmaron un colapso de estructura en Santa Fe, Santa Fe. El incidente generando preocupación entre autoridades provinciales. Bomberos y personal de seguridad trabajan intensamente en la zona.",Colapso de estructura,-31.61647,-60.656351,17/05/2007
Se reporta Accidente en planta industrial en zona de Aristóbulo del Valle,"Autoridades confirmaron un accidente en planta industrial en Aristóbulo del Valle, Misiones. El incidente generando caos en el transporte público y privado. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Accidente en planta industrial,-27.11283,-54.862856,27/09/2011
"Preocupación por Colisión frontal en Chamical, La Rioja","Un grave colisión frontal se registró en Chamical, La Rioja. El incidente provocando pánico entre los residentes locales. Bomberos y personal de seguridad trabajan intensamente en la zona.",Colisión frontal,-30.390049,-66.330822,18/09/2023
Alerta por Colisión de tren de carga en Azul,"Autoridades confirmaron un colisión de tren de carga en Azul, Buenos Aires. El incidente provocando pánico entre los residentes locales. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Colisión de tren de carga,-36.805348,-59.848108,17/04/2024
Impacto de Caída de aeronave en comunidad de Las Lomitas,"Un grave caída de aeronave se registró en Las Lomitas, Formosa. El incidente destruyendo viviendas y dejando a familias evacuadas. Se ha establecido un centro de operaciones para coordinar las ayudas.",Caída de aeronave,-24.716402,-60.641737,06/11/2014
Equipos de emergencia atienden Accidente de avión en Chepes,"Un grave accidente de avión se registró en Chepes, La Rioja. El incidente dejando a varios sectores sin comunicación. Equipos de rescate continúan buscando posibles víctimas.",Accidente de avión,-31.353238,-66.611826,15/04/2010
Gaiman sufre las consecuencias de Fallo en sistema eléctrico,"Un grave fallo en sistema eléctrico se registró en Gaiman, Chubut. El incidente causando pérdidas millonarias y afectando a cientos de personas. El municipio ha activado el protocolo de emergencias para esta situación.",Fallo en sistema eléctrico,-43.263754,-65.508573,02/02/2020
Fuego en local comercial afecta a Pirané,"Grave fuego en local comercial ocurrió en las inmediaciones de Pirané, Formosa. El incidente dejando a varios sectores sin comunicación. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Fuego en local comercial,-25.749525,-59.065833,12/05/2013
"Emergencia en aeropuerto genera crisis en Curuzú Cuatiá, Corrientes","Autoridades confirmaron un emergencia en aeropuerto en Curuzú Cuatiá, Corrientes. El incidente generando serios daños ambientales en la región. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Emergencia en aeropuerto,-29.758681,-58.019848,03/08/2005
"Declaran emergencia tras Incidente aéreo en Las Lomitas, Formosa","Un grave incidente aéreo se registró en Las Lomitas, Formosa. El incidente con un saldo inicial de varias personas heridas. Equipos de rescate continúan buscando posibles víctimas.",Incidente aéreo,-24.716241,-60.582611,30/06/2023
Fuga en planta industrial impacta en Rosario,"Un grave fuga en planta industrial se registró en Rosario, Santa Fe. El incidente destruyendo viviendas y dejando a familias evacuadas. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Fuga en planta industrial,-32.943844,-60.64566,29/08/2016
Choque de formaciones ferroviarias deja múltiples daños en Chepes,"Grave choque de formaciones ferroviarias ocurrió en las inmediaciones de Chepes, La Rioja. El incidente obligando a evacuar a residentes de la zona. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Choque de formaciones ferroviarias,-31.299172,-66.6178,01/01/2017
Derrumbe en obra en construcción impacta en Tunuyán,"Autoridades confirmaron un derrumbe en obra en construcción en Tunuyán, Mendoza. El incidente causando daños en cultivos y producción agrícola. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Derrumbe en obra en construcción,-33.571985,-69.015972,02/03/2018
Impacto de Accidente de helicóptero en comunidad de Guaymallén,"Autoridades confirmaron un accidente de helicóptero en Guaymallén, Mendoza. El incidente dejando a la población incomunicada por varias horas. La población ha sido alertada para tomar precauciones adicionales.",Accidente de helicóptero,-32.8911,-68.74498,15/01/2014
"Evacuaciones por Pérdida de gas con evacuación en Salta, Salta","Grave pérdida de gas con evacuación ocurrió en las inmediaciones de Salta, Salta. El incidente dejando varios heridos y daños materiales. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Pérdida de gas con evacuación,-24.767125,-65.380213,15/06/2013
"Se reporta Fuga masiva de gas natural en zona de San Vicente, Misiones","Un grave fuga masiva de gas natural se registró en San Vicente, Misiones. El incidente generando serios daños ambientales en la región. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Fuga masiva de gas natural,-27.030993,-54.461254,23/08/2003
"Atropello masivo sorprende a habitantes de Curuzú Cuatiá, Corrientes","Autoridades confirmaron un atropello masivo en Curuzú Cuatiá, Corrientes. El incidente destruyendo viviendas y dejando a familias evacuadas. Se ha establecido un centro de operaciones para coordinar las ayudas.",Atropello masivo,-29.74301,-58.03322,21/09/2000
"Declaran emergencia tras Colapso de estructura en Bella Vista, Corrientes","Un grave colapso de estructura se registró en Bella Vista, Corrientes. El incidente dejando varios heridos y daños materiales. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Colapso de estructura,-28.543237,-59.059615,10/06/2014
Interrupción del suministro eléctrico impacta en Belén,"Grave interrupción del suministro eléctrico ocurrió en las inmediaciones de Belén, Catamarca. El incidente afectando el normal desarrollo de actividades en la zona. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Interrupción del suministro eléctrico,-27.603002,-67.021266,22/05/2024
"Equipos de emergencia atienden Vuelco de vehículo de pasajeros en Corrientes, Corrientes","Un grave vuelco de vehículo de pasajeros se registró en Corrientes, Corrientes. El incidente dejando a la población incomunicada por varias horas. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Vuelco de vehículo de pasajeros,-27.432849,-58.804534,07/06/2000
"Interrupción del suministro eléctrico deja múltiples daños en Río Grande, Tierra del Fuego","Un grave interrupción del suministro eléctrico se registró en Río Grande, Tierra del Fuego. El incidente resultando en el cierre temporal de escuelas y comercios. La población ha sido alertada para tomar precauciones adicionales.",Interrupción del suministro eléctrico,-53.816909,-67.68335,20/03/2006
"Emergencia por Avioneta caída en Bella Vista, Corrientes","Autoridades confirmaron un avioneta caída en Bella Vista, Corrientes. El incidente dejando un rastro de destrucción importante. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Avioneta caída,-28.547317,-59.077795,09/09/2012
Realicó en alerta por Colapso de puente,"Autoridades confirmaron un colapso de puente en Realicó, La Pampa. El incidente dejando a la población incomunicada por varias horas. Equipos de rescate continúan buscando posibles víctimas.",Colapso de puente,-35.028088,-64.26614,21/06/2024
Chajarí sufre las consecuencias de Colapso en red de distribución,"Grave colapso en red de distribución ocurrió en las inmediaciones de Chajarí, Entre Ríos. El incidente destruyendo viviendas y dejando a familias evacuadas. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Colapso en red de distribución,-30.744777,-58.051343,28/08/2023
"Se reporta Accidente en refinería en zona de Bahía Blanca, Buenos Aires","Un grave accidente en refinería se registró en Bahía Blanca, Buenos Aires. El incidente afectando el normal desarrollo de actividades en la zona. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Accidente en refinería,-38.73896,-62.284609,07/03/2014
"Descarrilamiento con derrame provoca emergencia en Junín, Buenos Aires","Autoridades confirmaron un descarrilamiento con derrame en Junín, Buenos Aires. El incidente generando preocupación entre autoridades provinciales. Se han habilitado refugios temporales para las familias afectadas.",Descarrilamiento con derrame,-34.627,-60.945744,31/08/2002
Chimbas afectado por Escape de gas domiciliario,"Grave escape de gas domiciliario ocurrió en las inmediaciones de Chimbas, San Juan. El incidente generando caos en el transporte público y privado. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Escape de gas domiciliario,-31.49202,-68.516595,05/12/2016
"Lomas de Zamora afectado por Deflagración en planta industrial, Buenos Aires","Grave deflagración en planta industrial ocurrió en las inmediaciones de Lomas de Zamora, Buenos Aires. El incidente interrumpiendo servicios básicos en toda la zona. Bomberos y personal de seguridad trabajan intensamente en la zona.",Deflagración en planta industrial,-34.774569,-58.443228,15/08/2008
"Derrumbe de edificio sorprende a habitantes de Esperanza, Santa Fe","Un grave derrumbe de edificio se registró en Esperanza, Santa Fe. El incidente bloqueando las principales vías de acceso. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Derrumbe de edificio,-31.438186,-60.89571,01/10/2003
"Alerta por Fallo en sistema eléctrico en Las Lomitas, Formosa","Autoridades confirmaron un fallo en sistema eléctrico en Las Lomitas, Formosa. El incidente afectando gravemente la infraestructura local. La población ha sido alertada para tomar precauciones adicionales.",Fallo en sistema eléctrico,-24.68078,-60.57899,12/11/2001
"Autoridades responden a Apagón por tormenta en Allen, Río Negro","Un grave apagón por tormenta se registró en Allen, Río Negro. El incidente provocando cortes de energía y problemas en el suministro de agua. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Apagón por tormenta,-38.967846,-67.787299,15/11/2007
"Accidente de avión deja múltiples daños en Pirané, Formosa","Grave accidente de avión ocurrió en las inmediaciones de Pirané, Formosa. El incidente causando pérdidas millonarias y afectando a cientos de personas. Equipos de rescate continúan buscando posibles víctimas.",Accidente de avión,-25.687269,-59.081763,01/05/2008
Serio incidente: Vuelco de vehículo de pasajeros en San Francisco,"Un grave vuelco de vehículo de pasajeros se registró en San Francisco, Córdoba. El incidente dejando varios heridos y daños materiales. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Vuelco de vehículo de pasajeros,-31.472722,-62.133751,23/06/2003
Habitantes de Goya afrontan Atropello masivo,"Un grave atropello masivo se registró en Goya, Corrientes. El incidente dejando a varios sectores sin comunicación. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Atropello masivo,-29.174394,-59.237541,11/03/2022
"Devastador Fuga en planta industrial afecta a Cutral Có, Neuquén","Grave fuga en planta industrial ocurrió en las inmediaciones de Cutral Có, Neuquén. El incidente dejando varios heridos y daños materiales. Se ha establecido un centro de operaciones para coordinar las ayudas.",Fuga en planta industrial,-38.915744,-69.27185,23/10/2012
Emergencia por Avioneta caída en Tafí Viejo,"Un grave avioneta caída se registró en Tafí Viejo, Tucumán. El incidente causando daños en cultivos y producción agrícola. Bomberos y personal de seguridad trabajan intensamente en la zona.",Avioneta caída,-26.707921,-65.220959,30/12/2006
Impacto de Gas con riesgo de explosión en comunidad de Sarmiento,"Grave gas con riesgo de explosión ocurrió en las inmediaciones de Sarmiento, Chubut. El incidente obligando a evacuar a residentes de la zona. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Gas con riesgo de explosión,-45.558098,-69.039874,25/09/2017
"Habitantes de Quitilipi afrontan Estallido de gasoducto, Chaco","Un grave estallido de gasoducto se registró en Quitilipi, Chaco. El incidente destruyendo viviendas y dejando a familias evacuadas. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Estallido de gasoducto,-26.876959,-60.167861,03/10/2016
Impacto de Incidente en fábrica en comunidad de Recoleta,"Un grave incidente en fábrica se registró en Recoleta, CABA. El incidente dejando varios heridos y daños materiales. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Incidente en fábrica,-34.627846,-58.358251,16/02/2013
Quitilipi en alerta por Atropello masivo,"Un grave atropello masivo se registró en Quitilipi, Chaco. El incidente bloqueando las principales vías de acceso. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Atropello masivo,-26.832748,-60.20499,12/01/2006
Incidente aéreo provoca emergencia en Andalgalá,"Autoridades confirmaron un incidente aéreo en Andalgalá, Catamarca. El incidente generando serios daños ambientales en la región. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Incidente aéreo,-27.566608,-66.287482,10/01/2025
"Fuego en centro comercial impacta en Mendoza, Mendoza","Un grave fuego en centro comercial se registró en Mendoza, Mendoza. El incidente provocando cortes de energía y problemas en el suministro de agua. La población ha sido alertada para tomar precauciones adicionales.",Fuego en centro comercial,-32.913789,-68.872426,06/11/2004
Alerta por Incendio en edificio residencial en Guaymallén,"Autoridades confirmaron un incendio en edificio residencial en Guaymallén, Mendoza. El incidente resultando en el cierre temporal de escuelas y comercios. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Incendio en edificio residencial,-32.932399,-68.812912,24/10/2000
Accidente con maquinaria industrial provoca emergencia en El Colorado,"Autoridades confirmaron un accidente con maquinaria industrial en El Colorado, Formosa. El incidente afectando gravemente la infraestructura local. El municipio ha activado el protocolo de emergencias para esta situación.",Accidente con maquinaria industrial,-26.287271,-59.374304,22/04/2012
"Accidente ferroviario con pasajeros deja múltiples daños en Aimogasta, La Rioja","Un grave accidente ferroviario con pasajeros se registró en Aimogasta, La Rioja. El incidente provocando pánico entre los residentes locales. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Accidente ferroviario con pasajeros,-28.563259,-66.764483,30/06/2020
Preocupación por Fuego destructivo en zona urbana en Río Gallegos,"Autoridades confirmaron un fuego destructivo en zona urbana en Río Gallegos, Santa Cruz. El incidente provocando la activación de protocolos de emergencia. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Fuego destructivo en zona urbana,-51.578826,-69.235033,21/05/2009
"Devastador Fuego destructivo en zona urbana afecta a Resistencia, Chaco","Un grave fuego destructivo en zona urbana se registró en Resistencia, Chaco. El incidente afectando el normal desarrollo de actividades en la zona. Se han habilitado refugios temporales para las familias afectadas.",Fuego destructivo en zona urbana,-27.49755,-58.991444,09/03/2017
Impacto de Accidente con químicos industriales en comunidad de San Luis,"Autoridades confirmaron un accidente con químicos industriales en San Luis, San Luis. El incidente con un saldo inicial de varias personas heridas. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Accidente con químicos industriales,-33.335182,-66.319272,09/04/2010
Consecuencias graves tras Atropello masivo en Las Heras,"Un grave atropello masivo se registró en Las Heras, Santa Cruz. El incidente afectando gravemente la infraestructura local. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Atropello masivo,-46.542602,-68.96269,12/07/2002
"Declaran emergencia tras Fallo en vuelo en Las Breñas, Chaco","Autoridades confirmaron un fallo en vuelo en Las Breñas, Chaco. El incidente generando preocupación entre autoridades provinciales. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Fallo en vuelo,-27.068385,-61.090079,08/02/2015
Impacto de Colapso de puente en comunidad de Avellaneda,"Autoridades confirmaron un colapso de puente en Avellaneda, Buenos Aires. El incidente bloqueando las principales vías de acceso. La población ha sido alertada para tomar precauciones adicionales.",Colapso de puente,-34.622569,-58.366239,05/02/2007
"Consecuencias graves tras Colisión grave en ruta en Belén, Catamarca","Un grave colisión grave en ruta se registró en Belén, Catamarca. El incidente bloqueando las principales vías de acceso. Se han habilitado refugios temporales para las familias afectadas.",Colisión grave en ruta,-27.61507,-66.989176,08/03/2015
Impacto de Choque en cadena en comunidad de Charata,"Autoridades confirmaron un choque en cadena en Charata, Chaco. El incidente dejando a varios sectores sin comunicación. El municipio ha activado el protocolo de emergencias para esta situación.",Choque en cadena,-27.261289,-61.20842,29/04/2020
"Colapso por fallas estructurales deja múltiples daños en Corrientes, Corrientes","Un grave colapso por fallas estructurales se registró en Corrientes, Corrientes. El incidente afectando gravemente la infraestructura local. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Colapso por fallas estructurales,-27.4969,-58.817546,25/07/2010
Declaran emergencia tras Accidente en paso a nivel en Centenario,"Autoridades confirmaron un accidente en paso a nivel en Centenario, Neuquén. El incidente dejando varios heridos y daños materiales. Bomberos y personal de seguridad trabajan intensamente en la zona.",Accidente en paso a nivel,-38.860073,-68.180372,05/07/2010
Habitantes de El Calafate afrontan Accidente de helicóptero,"Autoridades confirmaron un accidente de helicóptero en El Calafate, Santa Cruz. El incidente provocando cortes de energía y problemas en el suministro de agua. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Accidente de helicóptero,-50.30967,-72.311579,29/04/2023
Incidente aéreo genera crisis en Cañada de Gómez,"Un grave incidente aéreo se registró en Cañada de Gómez, Santa Fe. El incidente afectando gravemente la infraestructura local. Se han habilitado refugios temporales para las familias afectadas.",Incidente aéreo,-32.827232,-61.431508,02/01/2018
Equipos de emergencia atienden Accidente en paso a nivel en San Pedro de Jujuy,"Autoridades confirmaron un accidente en paso a nivel en San Pedro de Jujuy, Jujuy. El incidente bloqueando las principales vías de acceso. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Accidente en paso a nivel,-24.248825,-64.88254,03/10/2013
"Serio incidente: Fallo en planta procesadora en Mendoza, Mendoza","Grave fallo en planta procesadora ocurrió en las inmediaciones de Mendoza, Mendoza. El incidente dejando varios heridos y daños materiales. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Fallo en planta procesadora,-32.874768,-68.813958,23/12/2020
"Paso de los Libres afectado por Fallo en planta procesadora, Corrientes","Un grave fallo en planta procesadora se registró en Paso de los Libres, Corrientes. El incidente obligando a evacuar a residentes de la zona. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Fallo en planta procesadora,-29.737755,-57.118251,25/05/2013
"Fallo en vuelo afecta a Santa Fe, Santa Fe","Un grave fallo en vuelo se registró en Santa Fe, Santa Fe. El incidente provocando pánico entre los residentes locales. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Fallo en vuelo,-31.660116,-60.741092,25/07/2005
"Alerta por Explosión de tanque de gas en Cruz del Eje, Córdoba","Grave explosión de tanque de gas ocurrió en las inmediaciones de Cruz del Eje, Córdoba. El incidente generando preocupación entre autoridades provinciales. Bomberos y personal de seguridad trabajan intensamente en la zona.",Explosión de tanque de gas,-30.756906,-64.79458,01/01/2001
"Habitantes de General Güemes afrontan Estallido de gasoducto, Salta","Autoridades confirmaron un estallido de gasoducto en General Güemes, Salta. El incidente dejando varios heridos y daños materiales. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Estallido de gasoducto,-24.686895,-65.08093,23/12/2016
Incendio con víctimas sorprende a habitantes de Chilecito,"Grave incendio con víctimas ocurrió en las inmediaciones de Chilecito, La Rioja. El incidente causando pérdidas millonarias y afectando a cientos de personas. Equipos de rescate continúan buscando posibles víctimas.",Incendio con víctimas,-29.148776,-67.524198,25/07/2020
Impacto de Colapso de estructura en comunidad de Chascomús,"Autoridades confirmaron un colapso de estructura en Chascomús, Buenos Aires. El incidente dejando varios heridos y daños materiales. Se han habilitado refugios temporales para las familias afectadas.",Colapso de estructura,-35.597753,-57.991974,28/10/2013
Evacuaciones por Avioneta caída en Andalgalá,"Grave avioneta caída ocurrió en las inmediaciones de Andalgalá, Catamarca. El incidente causando daños en cultivos y producción agrícola. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Avioneta caída,-27.580841,-66.281797,08/11/2016
Fallo en estación transformadora impacta en Concepción,"Grave fallo en estación transformadora ocurrió en las inmediaciones de Concepción, Tucumán. El incidente generando preocupación entre autoridades provinciales. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Fallo en estación transformadora,-27.321897,-65.545578,20/06/2024
Apagón general provoca emergencia en Resistencia,"Grave apagón general ocurrió en las inmediaciones de Resistencia, Chaco. El incidente dejando a la población incomunicada por varias horas. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Apagón general,-27.477462,-59.0213,15/02/2003
Preocupación por Emergencia en aeropuerto en Luján de Cuyo,"Autoridades confirmaron un emergencia en aeropuerto en Luján de Cuyo, Mendoza. El incidente dejando un rastro de destrucción importante. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Emergencia en aeropuerto,-33.036105,-68.866215,25/07/2023
"Devastador Fuego en centro comercial afecta a Rosario, Santa Fe","Grave fuego en centro comercial ocurrió en las inmediaciones de Rosario, Santa Fe. El incidente dejando un rastro de destrucción importante. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Fuego en centro comercial,-32.900326,-60.600875,02/02/2002
Apagón general afecta a Perico,"Grave apagón general ocurrió en las inmediaciones de Perico, Jujuy. El incidente dejando a la población incomunicada por varias horas. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Apagón general,-24.347691,-65.101738,16/06/2011
"Habitantes de Jesús María afrontan Incidente en fábrica, Córdoba","Autoridades confirmaron un incidente en fábrica en Jesús María, Córdoba. El incidente interrumpiendo servicios básicos en toda la zona. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Incidente en fábrica,-30.995026,-64.140793,09/06/2020
"Fuga en gasoducto causa estragos en Cipolletti, Río Negro","Autoridades confirmaron un fuga en gasoducto en Cipolletti, Río Negro. El incidente resultando en el cierre temporal de escuelas y comercios. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Fuga en gasoducto,-38.963273,-68.036033,17/03/2008
"Derrumbe de edificio afecta a Pehuajó, Buenos Aires","Grave derrumbe de edificio ocurrió en las inmediaciones de Pehuajó, Buenos Aires. El incidente dejando a la población incomunicada por varias horas. Bomberos y personal de seguridad trabajan intensamente en la zona.",Derrumbe de edificio,-35.806056,-61.896818,06/01/2012
"Alerta por Incendio en fábrica en Metán, Salta","Un grave incendio en fábrica se registró en Metán, Salta. El incidente causando pérdidas millonarias y afectando a cientos de personas. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Incendio en fábrica,-25.515704,-64.945041,28/05/2005
"Serio incidente: Corte masivo de electricidad en San Pedro de Jujuy, Jujuy","Autoridades confirmaron un corte masivo de electricidad en San Pedro de Jujuy, Jujuy. El incidente dejando a la población incomunicada por varias horas. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Corte masivo de electricidad,-24.225723,-64.834145,15/07/2005
